EntryTime,Expiry,Type,Strike,Direction,PnL
2024-09-11T14:00:00.0,2024-09-12T20:00:00.0,Call,551.0,-1,-7.210000000000036
2024-09-11T14:00:00.0,2024-09-12T20:00:00.0,Put,530.0,1,-0.18
2024-09-11T14:00:00.0,2024-09-12T20:00:00.0,Call,557.0,1,1.6400000000000363
2024-09-12T14:00:00.0,2024-09-13T20:00:00.0,Put,546.0,-1,0.72
2024-09-12T14:00:00.0,2024-09-13T20:00:00.0,Call,560.0,-1,-1.4099999999999864
2024-09-12T14:00:00.0,2024-09-13T20:00:00.0,Put,540.0,1,-0.27
2024-09-12T14:00:00.0,2024-09-13T20:00:00.0,Call,565.0,1,-0.1
2024-09-13T14:00:00.0,2024-09-13T20:00:00.0,Put,556.0,-1,0.28
2024-09-13T14:00:00.0,2024-09-13T20:00:00.0,Call,565.0,-1,0.14
2024-09-13T14:00:00.0,2024-09-13T20:00:00.0,Put,550.0,1,-0.1
2024-09-13T14:00:00.0,2024-09-13T20:00:00.0,Call,570.0,1,-0.01
2024-09-16T14:00:00.0,2024-09-17T20:00:00.0,Put,557.0,-1,0.58
2024-09-16T14:00:00.0,2024-09-17T20:00:00.0,Call,567.0,-1,0.43
2024-09-16T14:00:00.0,2024-09-17T20:00:00.0,Put,551.0,1,-0.17
2024-09-16T14:00:00.0,2024-09-17T20:00:00.0,Call,571.0,1,-0.06
2024-09-17T14:00:00.0,2024-09-18T20:00:00.0,Put,556.0,-1,0.71
2024-09-17T14:00:00.0,2024-09-18T20:00:00.0,Call,572.0,-1,0.48
2024-09-17T14:00:00.0,2024-09-18T20:00:00.0,Put,550.0,1,-0.22
2024-09-17T14:00:00.0,2024-09-18T20:00:00.0,Call,578.0,1,-0.06
2024-09-18T14:00:00.0,2024-09-19T20:00:00.0,Put,554.0,-1,1.01
2024-09-18T14:00:00.0,2024-09-19T20:00:00.0,Call,572.0,-1,0.57
2024-09-18T14:00:00.0,2024-09-19T20:00:00.0,Put,547.0,1,-0.33
2024-09-18T14:00:00.0,2024-09-19T20:00:00.0,Call,579.0,1,-0.08
2024-09-19T14:00:00.0,2024-09-20T20:00:00.0,Put,561.0,-1,0.69
2024-09-19T14:00:00.0,2024-09-20T20:00:00.0,Call,575.0,-1,0.34
2024-09-19T14:00:00.0,2024-09-20T20:00:00.0,Put,555.0,1,-0.33
2024-09-19T14:00:00.0,2024-09-20T20:00:00.0,Call,581.0,1,-0.05
2024-09-20T14:00:00.0,2024-09-20T20:00:00.0,Put,562.0,-1,0.2800000000000001
2024-09-20T14:00:00.0,2024-09-20T20:00:00.0,Call,570.0,-1,0.35
2024-09-20T14:00:00.0,2024-09-20T20:00:00.0,Put,556.0,1,-0.05000000000000001
2024-09-20T14:00:00.0,2024-09-20T20:00:00.0,Call,576.0,1,-0.02
2024-09-23T14:00:00.0,2024-09-24T20:00:00.0,Put,564.0,-1,0.48
2024-09-23T14:00:00.0,2024-09-24T20:00:00.0,Call,573.0,-1,0.27
2024-09-23T14:00:00.0,2024-09-24T20:00:00.0,Put,559.0,1,-0.14
2024-09-23T14:00:00.0,2024-09-24T20:00:00.0,Call,580.0,1,-0.01
2024-09-24T14:00:00.0,2024-09-25T20:00:00.0,Put,564.0,-1,0.35
2024-09-24T14:00:00.0,2024-09-25T20:00:00.0,Call,573.0,-1,0.24
2024-09-24T14:00:00.0,2024-09-25T20:00:00.0,Put,558.0,1,-0.1
2024-09-24T14:00:00.0,2024-09-25T20:00:00.0,Call,579.0,1,-0.010000000000000002
2024-09-25T14:00:00.0,2024-09-26T20:00:00.0,Put,567.0,-1,0.37
2024-09-25T14:00:00.0,2024-09-26T20:00:00.0,Call,575.0,-1,0.3
2024-09-25T14:00:00.0,2024-09-26T20:00:00.0,Put,561.0,1,-0.08
2024-09-25T14:00:00.0,2024-09-26T20:00:00.0,Call,579.0,1,-0.02
2024-09-26T14:00:00.0,2024-09-27T20:00:00.0,Put,569.0,-1,0.34
